华影视轮播,#genre#
CCTV-13新闻,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8?#https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8
CCTV-14少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV-15音乐,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8?
CCTV-16奥林匹克,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8?
CCTV-17农业农村,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
卫视频道,#genre#
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225728/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225796/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226222/index.m3u8
天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225740/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226459/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225765/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226204/index.m3u8
东南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225766/index.m3u8
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225735/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226217/index.m3u8
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225613/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226310/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226200/index.m3u8
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225612/index.m3u8#http://hw-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226199/index.m3u8
安徽卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226203/index.m3u8
河北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225750/index.m3u8
河南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225767/index.m3u8
广东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226216/index.m3u8
广西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226380/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225770/index.m3u8
深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225739/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225752/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226205/index.m3u8
湖北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225627/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226477/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225760/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226194/index.m3u8
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225610/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226307/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226211/index.m3u8
四川卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225768/index.m3u8
重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225791/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226202/index.m3u8
江西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225764/index.m3u8
山西卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225763/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225624/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226392/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225763/index.m3u8
山东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226209/index.m3u8
贵州卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225793/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225793/index.m3u8
云南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226444/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225751/index.m3u8
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225628/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226323/index.m3u8
海南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225769/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225769/index.m3u8
宁夏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225632/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226454/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225748/index.m3u8
甘肃卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225633/index.m3u8#https://hls.gstv.com.cn/49048r/6e1sy2.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225754/index.m3u8
陕西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226457/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225821/index.m3u8
吉林卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225792/index.m3u8
辽宁卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226546/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226201/index.m3u8
新疆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225635/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226460/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225747/index.m3u8
西藏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225638/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226433/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226212/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226212/index.m3u8
内蒙古卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225634/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226389/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225786/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225802/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226215/index.m3u8
联通央视,#genre#
CCTV-1,http://newzxl.top:4022/rtp/239.253.92.83:8012
CCTV-2,http://newzxl.top:4022/rtp/239.253.92.190:6065
CCTV-3,http://newzxl.top:4022/rtp/239.253.92.191:6057
CCTV-4,http://newzxl.top:4022/rtp/239.253.92.251:6141
CCTV-5,http://newzxl.top:4022/rtp/239.253.92.181:6046
CCTV-5+,http://newzxl.top:4022/rtp/239.253.92.82:8013
CCTV-6,http://newzxl.top:4022/rtp/239.253.92.193:6058
CCTV-7,http://newzxl.top:4022/rtp/239.253.92.194:6059
CCTV-8,http://newzxl.top:4022/rtp/239.253.92.195:6060
CCTV-9,http://newzxl.top:4022/rtp/239.253.92.107:6020
CCTV-10,http://newzxl.top:4022/rtp/239.253.92.196:6061
CCTV-11,http://newzxl.top:4022/rtp/239.253.93.153:6321
CCTV-12,http://newzxl.top:4022/rtp/239.253.92.197:6062
CCTV-13,http://newzxl.top:4022/rtp/239.253.92.13:8008
CCTV-14,http://newzxl.top:4022/rtp/239.253.92.198:6063
CCTV-15,http://newzxl.top:4022/rtp/239.253.93.154:6322
CCTV-17,http://newzxl.top:4022/rtp/239.253.93.150:6318
CCTV-4K,http://newzxl.top:4022/rtp/239.253.93.134:6631
CGTN英语,http://newzxl.top:4022/rtp/239.253.92.15:8011
CGTN记录,http://newzxl.top:4022/rtp/239.253.93.195:6373
CGTN西语,http://newzxl.top:4022/rtp/239.253.93.196:6374
CGTN法语,http://newzxl.top:4022/rtp/239.253.93.197:6375
CGTN阿语,http://newzxl.top:4022/rtp/239.253.93.198:6376
CGTN俄语,http://newzxl.top:4022/rtp/239.253.93.199:6377
CCTV-4欧洲,http://newzxl.top:4022/rtp/239.253.93.192:6370
CCTV-4美洲,http://newzxl.top:4022/rtp/239.253.93.193:6371
都市剧场,http://newzxl.top:4022/rtp/239.253.93.227:6405
央视台球,http://newzxl.top:4022/rtp/239.253.93.231:6409
电视指南,http://newzxl.top:4022/rtp/239.253.93.249:6427
第一剧场,http://newzxl.top:4022/rtp/239.253.93.138:6428
风云剧场,http://newzxl.top:4022/rtp/239.253.93.251:6429
怀旧剧场,http://newzxl.top:4022/rtp/239.253.93.252:6430
风云音乐,http://newzxl.top:4022/rtp/239.253.93.253:6431
风云足球,http://newzxl.top:4022/rtp/239.253.93.254:6432
央视网球,http://newzxl.top:4022/rtp/239.253.93.122:6465
兵器科技,http://newzxl.top:4022/rtp/239.253.93.47:6435
世界地理,http://newzxl.top:4022/rtp/239.253.92.131:6113
女性时尚,http://newzxl.top:4022/rtp/239.253.92.144:6114
文化精品,http://newzxl.top:4022/rtp/239.253.93.175:6439
河北卫视,http://newzxl.top:4022/rtp/239.253.92.154:6011
河北生活,http://newzxl.top:4022/rtp/239.253.92.171:6001
河北都市,http://newzxl.top:4022/rtp/239.253.92.172:6002
河北影视,http://newzxl.top:4022/rtp/239.253.92.173:6003
河北少儿,http://newzxl.top:4022/rtp/239.253.92.174:6004
河北公共,http://newzxl.top:4022/rtp/239.253.92.175:6005
河北农民,http://newzxl.top:4022/rtp/239.253.92.176:6006
三佳购物,http://newzxl.top:4022/rtp/239.253.92.24:8130
睛彩河北,http://newzxl.top:4022/rtp/239.253.92.104:6221
石家庄综合,http://newzxl.top:4022/rtp/239.253.92.149:6035
石家庄娱乐,http://newzxl.top:4022/rtp/239.253.92.93:8120
石家庄生活,http://newzxl.top:4022/rtp/239.253.92.94:8121
石家庄都市,http://newzxl.top:4022/rtp/239.253.92.95:8122
张家口综合,http://newzxl.top:4022/rtp/239.253.92.225:8115
秦皇岛综合,http://newzxl.top:4022/rtp/239.253.92.52:6021
秦皇岛公共,http://newzxl.top:4022/rtp/239.253.92.53:6022
秦皇岛影视,http://newzxl.top:4022/rtp/239.253.92.54:6023
唐山综合,http://newzxl.top:4022/rtp/239.253.92.245:6089
唐山生活,http://newzxl.top:4022/rtp/239.253.92.126:6026
唐山影视,http://newzxl.top:4022/rtp/239.253.92.127:6027
唐山公共,http://newzxl.top:4022/rtp/239.253.92.128:6028
廊坊综合,http://newzxl.top:4022/rtp/239.253.92.164:6036
廊坊公共,http://newzxl.top:4022/rtp/239.253.92.166:6037
保定综合,http://newzxl.top:4022/rtp/239.253.93.2:6153
衡水综合,http://newzxl.top:4022/rtp/239.253.93.3:6154
衡水公共,http://newzxl.top:4022/rtp/239.253.93.7:6160
邢台综合,http://newzxl.top:4022/rtp/239.253.93.8:6161
邢台生活,http://newzxl.top:4022/rtp/239.253.93.10:6163
邯郸综合,http://newzxl.top:4022/rtp/239.253.93.11:6164
邯郸公共,http://newzxl.top:4022/rtp/239.253.93.12:6165
邯郸教育,http://newzxl.top:4022/rtp/239.253.93.13:6166
联通卫视,#genre#
湖南卫视,http://newzxl.top:4022/rtp/239.253.92.84:8015
浙江卫视,http://newzxl.top:4022/rtp/239.253.92.90:8020
江苏卫视,http://newzxl.top:4022/rtp/239.253.92.88:8018
北京卫视,http://newzxl.top:4022/rtp/239.253.92.87:8014
东南卫视,http://newzxl.top:4022/rtp/239.253.92.201:6146
东方卫视,http://newzxl.top:4022/rtp/239.253.92.89:8019
天津卫视,http://newzxl.top:4022/rtp/239.253.92.91:8021
深圳卫视,http://newzxl.top:4022/rtp/239.253.92.86:8017
山东卫视,http://newzxl.top:4022/rtp/239.253.92.207:8109
广东卫视,http://newzxl.top:4022/rtp/239.253.92.206:8108
黑龙江卫视,http://newzxl.top:4022/rtp/239.253.92.85:8016
辽宁卫视,http://newzxl.top:4022/rtp/239.253.92.115:6056
安徽卫视,http://newzxl.top:4022/rtp/239.253.92.209:6566
湖北卫视,http://newzxl.top:4022/rtp/239.253.92.210:6567
四川卫视,http://newzxl.top:4022/rtp/239.253.92.16:6043
重庆卫视,http://newzxl.top:4022/rtp/239.253.92.10:6053
河南卫视,http://newzxl.top:4022/rtp/239.253.92.137:6144
广西卫视,http://newzxl.top:4022/rtp/239.253.92.76:8043
教育卫视,http://newzxl.top:4022/rtp/239.253.92.211:6069
教育四套,http://newzxl.top:4022/rtp/239.253.92.200:6137
贵州卫视,http://newzxl.top:4022/rtp/239.253.92.105:6055
江西卫视,http://newzxl.top:4022/rtp/239.253.92.19:6145
吉林卫视,http://newzxl.top:4022/rtp/239.253.92.202:6147
海南卫视,http://newzxl.top:4022/rtp/239.253.93.155:6323
金鹰纪实,http://newzxl.top:4022/rtp/239.253.92.103:6054
纪实人文,http://newzxl.top:4022/rtp/239.253.92.99:6013
欢笑剧场 4K,http://newzxl.top:4022/rtp/239.253.93.223:6401
欢笑剧场 4K,http://newzxl.top:4022/rtp/239.253.92.219:6228
北京纪实,http://newzxl.top:4022/rtp/239.253.93.190:6358
乐游纪实,http://newzxl.top:4022/rtp/239.253.93.224:6402
金鹰卡通,http://newzxl.top:4022/rtp/239.253.92.163:8055
动漫秀场,http://newzxl.top:4022/rtp/239.253.93.225:6403
求索纪录,http://newzxl.top:4022/rtp/239.253.93.236:6414
金色学堂,http://newzxl.top:4022/rtp/239.253.93.240:6418
法治天地,http://newzxl.top:4022/rtp/239.253.93.241:6419
中华美食,http://newzxl.top:4022/rtp/239.253.93.248:6426
早期教育,http://newzxl.top:4022/rtp/239.253.93.164:6440
文物宝库,http://newzxl.top:4022/rtp/239.253.93.180:6437
武术世界,http://newzxl.top:4022/rtp/239.253.93.46:6434
梨园频道,http://newzxl.top:4022/rtp/239.253.93.133:6441
点掌财经,http://newzxl.top:4022/rtp/239.253.92.236:6448
东方财经,http://newzxl.top:4022/rtp/239.253.93.239:6417
羽毛球台,http://newzxl.top:4022/rtp/239.253.93.202:6380
游戏风云,http://newzxl.top:4022/rtp/239.253.93.222:6400
生活时尚,http://newzxl.top:4022/rtp/239.253.93.226:6404
快乐垂钓,http://newzxl.top:4022/rtp/239.253.93.213:6391
茶频道台,http://newzxl.top:4022/rtp/239.253.93.212:6390
元氏综合,http://newzxl.top:4022/rtp/239.253.92.142:6040
高邑综合,http://newzxl.top:4022/rtp/239.253.92.160:6041
井陉矿区,http://newzxl.top:4022/rtp/239.253.92.215:6067
深泽综合,http://newzxl.top:4022/rtp/239.253.94.31:6630
赵县综合,http://newzxl.top:4022/rtp/239.253.93.140:6308
晋州综合,http://newzxl.top:4022/rtp/239.253.93.156:6324
井陉综合,http://newzxl.top:4022/rtp/239.253.93.205:6383
平泉综合,http://newzxl.top:4022/rtp/239.253.92.156:6012
兴隆综合,http://newzxl.top:4022/rtp/239.253.93.104:6271
隆化综合,http://newzxl.top:4022/rtp/239.253.93.174:6342
承德县台,http://newzxl.top:4022/rtp/239.253.94.28:6627
崇礼综合,http://newzxl.top:4022/rtp/239.253.93.147:6315
尚义综合,http://newzxl.top:4022/rtp/239.253.93.163:6331
邱县综合,http://newzxl.top:4022/rtp/239.253.93.158:6326
康保综合,http://newzxl.top:4022/rtp/239.253.93.165:6333
遵化综合,http://newzxl.top:4022/rtp/239.253.93.177:6345
滦南综合,http://newzxl.top:4022/rtp/239.253.92.218:6100
玉田综合,http://newzxl.top:4022/rtp/239.253.92.118:6133
大厂综合,http://newzxl.top:4022/rtp/239.253.92.253:6244
文安综合,http://newzxl.top:4022/rtp/239.253.93.111:6278
三河综合,http://newzxl.top:4022/rtp/239.253.93.143:6311
永清综合,http://newzxl.top:4022/rtp/239.253.93.172:6340
成安综合,http://newzxl.top:4022/rtp/239.253.93.178:6346
魏县综合,http://newzxl.top:4022/rtp/239.253.93.185:6353
黄骅综合,http://newzxl.top:4022/rtp/239.253.92.183:6047
吴桥综合,http://newzxl.top:4022/rtp/239.253.93.169:6337
丰宁综合,http://newzxl.top:4022/rtp/239.253.93.210:6388
阜平综合,http://newzxl.top:4022/rtp/239.253.93.16:6169
涞源综合,http://newzxl.top:4022/rtp/239.253.93.22:6175
高碑店综合,http://newzxl.top:4022/rtp/239.253.93.23:6176
涿州综合,http://newzxl.top:4022/rtp/239.253.93.27:6180
唐县综合,http://newzxl.top:4022/rtp/239.253.93.30:6183
定州综合,http://newzxl.top:4022/rtp/239.253.93.95:6260
容城综合,http://newzxl.top:4022/rtp/239.253.93.110:6277
临城综合,http://newzxl.top:4022/rtp/239.253.93.167:6335
柏乡综合,http://newzxl.top:4022/rtp/239.253.93.171:6339
徐水综合,http://newzxl.top:4022/rtp/239.253.93.182:6350
巨鹿综合,http://newzxl.top:4022/rtp/239.253.92.254:6449
临西综合,http://newzxl.top:4022/rtp/239.253.94.29:6628
安平综合,http://newzxl.top:4022/rtp/239.253.93.36:6189
景县综合,http://newzxl.top:4022/rtp/239.253.93.38:6191
深州综合,http://newzxl.top:4022/rtp/239.253.93.42:6195
故城综合,http://newzxl.top:4022/rtp/239.253.93.161:6329
枣强综合,http://newzxl.top:4022/rtp/239.253.93.166:6334
清河综合,http://newzxl.top:4022/rtp/239.253.93.44:6197
武安综合,http://newzxl.top:4022/rtp/239.253.93.62:6215
临漳综合,http://newzxl.top:4022/rtp/239.253.93.84:6250
涉县综合,http://newzxl.top:4022/rtp/239.253.93.106:6273
移动央视,#genre#
CCTV1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226231/index.m3u8
CCTV2,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8
CCTV3,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226397/index.m3u8
CCTV4,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8
CCTV5,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8
CCTV5+,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226221/index.m3u8
CCTV6,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226393/index.m3u8
CCTV7,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226192/index.m3u8
CCTV8,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226391/index.m3u8
CCTV9,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8
CCTV10,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8
CCTV11,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226240/index.m3u8
CCTV12,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226190/index.m3u8
CCTV13,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8
CCTV14,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226193/index.m3u8
CCTV15,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8
CCTV16,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8
CCTV17,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226198/index.m3u8
CETV1,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225753/index.m3u8
CETV2,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225756/index.m3u8
CETV3,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226226/index.m3u8
CETV4,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226225/index.m3u8
移动卫视,#genre#
浙江卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226199/index.m3u8
四川卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225768/index.m3u8
重庆卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226202/index.m3u8
安徽卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226203/index.m3u8
天津卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226204/index.m3u8
山西卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225763/index.m3u8
山东卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226209/index.m3u8
山东教育,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226238/index.m3u8
东南卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225766/index.m3u8
海南卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225769/index.m3u8
厦门卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226219/index.m3u8
河南卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225767/index.m3u8
